year,session,code,unit,max_mark,A*,A,B,C,D,E
2023,june,BL03,BIOLOGY UNIT 3,75,52,47,42,37,32,28
2023,june,BL04,BIOLOGY UNIT 4,75,51,46,41,36,32,28
2023,june,BL05,BIOLOGY UNIT 5,75,48,44,40,36,32,28
2023,june,BU01,BUSINESS UNIT 1,80,,56,48,41,34,27
2023,june,BU02,BUSINESS UNIT 2,80,,53,46,39,32,25
2023,june,BU03,BUSINESS UNIT 3,80,62,55,48,41,34,27
2023,june,BU04,BUSINESS UNIT 4,80,70,62,54,46,38,31
2023,june,CH01,CHEMISTRY UNIT 1,70,,54,47,41,35,29
2023,june,CH02,CHEMISTRY UNIT 2,70,,52,44,36,28,21
2023,june,CH03,CHEMISTRY UNIT 3,80,68,60,52,44,36,29
2023,june,CH04,CHEMISTRY UNIT 4,80,71,63,55,47,39,31
2023,june,CH05,CHEMISTRY UNIT 5,60,52,46,40,34,29,24
2023,june,EC01,ECONOMICS UNIT 1,80,,59,51,43,35,27
2023,june,EC02,ECONOMICS UNIT 2,80,,59,51,43,36,29
2023,june,EC03,ECONOMICS UNIT 3,90,72,64,56,48,40,33
2023,june,EC04,ECONOMICS UNIT 4,90,73,65,57,49,41,33
2023,june,EN01,ENGLISH LANGUAGE UNIT 1,50,,40,35,30,25,20
2023,june,EN02,ENGLISH LANGUAGE UNIT 2,50,,37,32,28,24,20
2023,june,EN04A,ENGLISH LANGUAGE UNIT 4A,50,45,40,35,30,25,20
2023,june,EN04B,ENGLISH LANGUAGE UNIT 4B,50,45,41,35,30,25,20
2023,june,LT01,ENGLISH LITERATURE UNIT 1,50,,34,29,24,19,14
2023,june,LT02,ENGLISH LITERATURE UNIT 2,50,,34,29,24,19,15
2023,june,LT03,ENGLISH LITERATURE UNIT 3,50,42,37,32,27,22,17
2023,june,LT04A,ENGLISH LITERATURE UNIT 4A,50,35,31,27,23,19,16
2023,june,LT04B,ENGLISH LITERATURE UNIT 4B,50,45,40,34,28,23,18
2023,june,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,,50,44,38,32,26
2023,june,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,,50,44,38,32,26
2023,june,GG02,GEOGRAPHY UNIT 2,80,,50,44,38,32,26
2023,june,GG03,GEOGRAPHY UNIT 3,80,57,50,43,36,30,24
2023,june,GG04,GEOGRAPHY UNIT 4,80,57,50,43,36,30,24
2023,june,GG05,GEOGRAPHY UNIT 5,60,49,43,37,31,25,20
2023,june,FM01,FURTHER MATHS UNIT 1 (FP1),80,,63,54,45,37,29
2023,june,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,,63,54,46,38,30
2023,june,FM03,FURTHER MATHS UNIT 3 (FP2),120,106,94,82,70,58,46
2023,june,FM04,FURTHER MATHS UNIT 4 (FS2),80,66,58,50,42,34,27
2023,june,FM05,FURTHER MATHS UNIT 5 (FM2),80,70,62,54,46,38,30
2023,june,MA01,MATHS UNIT 1 (P1),80,,60,51,43,35,27
2023,june,MA02,MATHS UNIT 2 (PSM1),80,,62,54,46,38,30
2023,june,MA03,MATHS UNIT 3 (P2),120,107,95,83,71,59,47
2023,june,MA04,MATHS UNIT 4 (S2),80,72,64,56,48,40,32
2023,june,MA05,MATHS UNIT 5 (M2),80,70,62,54,46,38,31
2023,june,PH01,PHYSICS UNIT 1,80,,51,45,39,34,29
2023,june,PH02,PHYSICS UNIT 2,80,,42,36,31,26,21
2023,june,PH03,PHYSICS UNIT 3,80,52,46,40,34,29,24
2023,june,PH04,PHYSICS UNIT 4,80,54,47,40,33,27,21
2023,june,PH05,PHYSICS UNIT 5,80,47,41,35,29,23,17
2023,june,PS01,PSYCHOLOGY UNIT 1,90,,61,53,45,37,30
2023,june,PS02,PSYCHOLOGY UNIT 2,90,,66,57,48,40,32
