SubjectCode,Subject,Series,Component,MaxRawMark,A,B,C,D,E
9705,Design and Technology,november-2024,13,120,106,103,94,85,76
9705,Design and Technology,november-2024,32,120,96,93,87,81,76
9705,Design and Technology,november-2024,33,120,96,93,87,81,76
9481,Digital Media & Design,november-2024,01,100,70,60,49,38,28
9481,Digital Media & Design,november-2024,02,100,70,60,49,39,28
9481,Digital Media & Design,november-2024,03,100,70,60,50,39,28
9482,Drama,november-2024,02,60,50,44,37,31,25
9482,Drama,november-2024,03,60,51,45,39,33,26
9482,Drama,november-2024,04,60,48,39,33,26,20
9482,Drama,november-2024,11,60,39,34,29,24,19
9482,Drama,november-2024,12,60,39,34,29,24,19
9482,Drama,november-2024,13,60,39,34,29,24,19
9708,Economics,november-2024,11,30,23,20,18,16,14
9708,Economics,november-2024,12,30,23,20,17,14,12
9708,Economics,november-2024,13,30,25,22,19,16,14
9708,Economics,november-2024,21,60,25,22,18,14,10
9708,Economics,november-2024,22,60,24,22,18,15,11
9708,Economics,november-2024,23,60,24,21,17,14,10
9708,Economics,november-2024,31,30,23,20,18,16,14
9708,Economics,november-2024,32,30,24,19,17,16,14
9708,Economics,november-2024,33,30,23,19,17,16,14
9708,Economics,november-2024,41,60,38,31,28,25,22
9708,Economics,november-2024,42,60,39,32,28,23,18
9708,Economics,november-2024,43,60,38,32,28,23,18
8021,English General Paper AS Level,november-2024,11,30,22,19,17,15,13
8021,English General Paper AS Level,november-2024,12,30,22,19,17,15,13
8021,English General Paper AS Level,november-2024,13,30,22,19,17,15,13
8021,English General Paper AS Level,november-2024,21,50,30,28,26,23,20
8021,English General Paper AS Level,november-2024,22,50,31,29,27,24,21
8021,English General Paper AS Level,november-2024,23,50,33,31,29,26,23
9093,English Language A Level,november-2024,11,50,34,29,25,22,19
9093,English Language A Level,november-2024,12,50,34,29,25,22,19
9093,English Language A Level,november-2024,13,50,34,29,25,22,19
9093,English Language A Level,november-2024,21,50,32,27,24,21,18
9093,English Language A Level,november-2024,22,50,32,27,24,21,18
9093,English Language A Level,november-2024,23,50,32,27,24,21,18
9093,English Language A Level,november-2024,31,50,36,31,26,21,15
9093,English Language A Level,november-2024,32,50,36,31,26,21,15
9093,English Language A Level,november-2024,33,50,36,31,26,21,15
9093,English Language A Level,november-2024,41,50,37,32,27,21,16
9093,English Language A Level,november-2024,42,50,37,32,27,21,16
9093,English Language A Level,november-2024,43,50,37,32,27,21,16
8291,Environmental Management AS Level,november-2024,11,80,50,42,37,32,28
8291,Environmental Management AS Level,november-2024,12,80,50,42,37,32,28
8291,Environmental Management AS Level,november-2024,13,80,50,42,37,32,28
8291,Environmental Management AS Level,november-2024,21,80,50,42,38,34,29
8291,Environmental Management AS Level,november-2024,22,80,50,42,38,34,29
8291,Environmental Management AS Level,november-2024,23,80,50,42,38,34,29
8682,French Language AS Level,november-2024,01,100,68,60,53,46,39
8682,French Language AS Level,november-2024,21,70,39,34,30,26,22
8682,French Language AS Level,november-2024,22,70,39,34,30,26,22
8682,French Language AS Level,november-2024,23,70,39,34,30,26,22
8682,French Language AS Level,november-2024,31,40,25,21,18,15,12
8682,French Language AS Level,november-2024,32,40,25,21,18,15,12
8682,French Language AS Level,november-2024,33,40,25,21,18,15,12
9231,Further Mathematics A Level,november-2024,11,75,49,40,33,27,20
9231,Further Mathematics A Level,november-2024,12,75,49,40,33,27,20
9231,Further Mathematics A Level,november-2024,13,75,49,40,33,27,20
9231,Further Mathematics A Level,november-2024,21,75,69,63,55,46,37
9231,Further Mathematics A Level,november-2024,22,75,69,63,55,46,37
9231,Further Mathematics A Level,november-2024,23,75,69,63,55,46,37
9231,Further Mathematics A Level,november-2024,31,50,25,17,14,10,7
9231,Further Mathematics A Level,november-2024,32,50,25,17,14,10,7
9231,Further Mathematics A Level,november-2024,33,50,25,17,14,10,7
9231,Further Mathematics A Level,november-2024,41,50,41,36,30,25,19
9231,Further Mathematics A Level,november-2024,42,50,41,36,30,25,19
9231,Further Mathematics A Level,november-2024,43,50,41,36,30,25,19
9696,Geography,november-2024,11,60,34,30,26,22,18
9696,Geography,november-2024,12,60,34,30,26,22,18
9696,Geography,november-2024,13,60,34,30,26,22,18
9696,Geography,november-2024,21,60,35,30,26,23,20
9696,Geography,november-2024,22,60,33,28,25,22,20
9696,Geography,november-2024,23,60,35,30,26,23,20
9696,Geography,november-2024,31,60,34,30,27,24,20
9696,Geography,november-2024,32,60,34,30,27,24,20
9696,Geography,november-2024,33,60,34,30,27,24,20
9696,Geography,november-2024,41,60,33,29,26,22,19
9696,Geography,november-2024,42,60,33,29,26,22,19
9696,Geography,november-2024,43,60,33,29,26,22,19
9717,German A Level,november-2024,01,100,78,68,60,53,46
9717,German A Level,november-2024,22,70,52,46,40,34,27
9717,German A Level,november-2024,23,70,52,46,40,34,27
9717,German A Level,november-2024,32,40,32,28,24,20,17
9717,German A Level,november-2024,33,40,32,28,24,20,17
9717,German A Level,november-2024,42,75,52,47,43,39,35
9717,German A Level,november-2024,43,75,52,47,43,39,35
8683,German Language AS Level,november-2024,01,100,68,60,53,46,39
8683,German Language AS Level,november-2024,22,70,46,39,33,27,21
8683,German Language AS Level,november-2024,23,70,46,39,33,27,21
8683,German Language AS Level,november-2024,32,40,28,24,20,17,14
8683,German Language AS Level,november-2024,33,40,28,24,20,17,14
9239,Global Perspectives & Research,november-2024,02,40,29,26,23,21,19
9239,Global Perspectives & Research,november-2024,03,40,27,25,23,21,19
9239,Global Perspectives & Research,november-2024,04,85,57,52,46,40,34
9239,Global Perspectives & Research,november-2024,11,45,32,29,26,23,20
9239,Global Perspectives & Research,november-2024,12,45,32,29,26,23,20
9239,Global Perspectives & Research,november-2024,13,45,32,29,26,23,20
9487,Hinduism,november-2024,01,60,41,34,28,22,16
9487,Hinduism,november-2024,02,60,34,29,24,19,15
9487,Hinduism,november-2024,03,60,36,30,24,18,12
9487,Hinduism,november-2024,04,60,36,30,25,20,15
9489,History,november-2024,11,40,23,20,17,14,12
9489,History,november-2024,12,40,23,20,17,14,12
9489,History,november-2024,13,40,23,20,17,14,12
9489,History,november-2024,21,60,39,35,30,25,20
9489,History,november-2024,22,60,39,35,30,25,20
9489,History,november-2024,23,60,39,35,30,25,20
9489,History,november-2024,31,40,31,28,25,22,19
9489,History,november-2024,32,40,31,28,25,22,19
9489,History,november-2024,33,40,31,28,25,22,19
9489,History,november-2024,41,60,42,38,34,29,24
9489,History,november-2024,42,60,42,38,34,29,24
9489,History,november-2024,43,60,42,38,34,29,24
9489,History,november-2024,50,75,54,45,36,27,18
9489,History,november-2024,60,75,54,45,36,27,18
9626,Information Technology,november-2024,02,90,63,55,49,43,37
9626,Information Technology,november-2024,04,90,65,59,50,43,34
9626,Information Technology,november-2024,11,70,37,33,28,23,19
9626,Information Technology,november-2024,12,70,37,33,28,23,19
9626,Information Technology,november-2024,13,70,37,33,28,23,19
9626,Information Technology,november-2024,32,70,40,34,31,26,22
9626,Information Technology,november-2024,33,70,40,34,31,26,22
9980,International Project A Level,november-2024,01,80,57,50,43,36,30
9488,Islamic Studies,november-2024,12,50,39,34,29,25,21
9488,Islamic Studies,november-2024,22,50,38,33,29,24,20
9488,Islamic Studies,november-2024,32,50,39,34,29,24,19
9488,Islamic Studies,november-2024,42,50,37,32,27,22,17
8695,Language and Literature in English AS Level,november-2024,11,50,32,27,24,21,18
8695,Language and Literature in English AS Level,november-2024,12,50,32,27,24,21,18
8695,Language and Literature in English AS Level,november-2024,13,50,32,27,24,21,18
8695,Language and Literature in English AS Level,november-2024,21,50,36,32,28,24,21
8695,Language and Literature in English AS Level,november-2024,22,50,36,32,28,24,21
8695,Language and Literature in English AS Level,november-2024,23,50,36,32,28,24,21
9084,Law,november-2024,11,75,46,44,37,30,24
9084,Law,november-2024,12,75,46,44,37,30,24
9084,Law,november-2024,13,75,46,44,37,30,24
9084,Law,november-2024,21,60,40,33,29,25,21
9084,Law,november-2024,22,60,40,33,29,25,21
9084,Law,november-2024,23,60,40,33,29,25,21
9084,Law,november-2024,31,75,45,39,34,30,24
9084,Law,november-2024,32,75,45,39,34,30,24
9084,Law,november-2024,41,75,43,37,33,29,26
9084,Law,november-2024,42,75,43,37,33,29,26
9695,Literature in English,november-2024,11,50,36,32,28,24,21
9695,Literature in English,november-2024,12,50,36,32,28,24,21
9695,Literature in English,november-2024,13,50,36,32,28,24,21
9695,Literature in English,november-2024,21,50,33,29,25,22,18
9695,Literature in English,november-2024,22,50,33,29,25,22,18
9695,Literature in English,november-2024,23,50,33,29,25,22,18
9695,Literature in English,november-2024,31,50,38,32,28,24,20
9695,Literature in English,november-2024,32,50,38,32,28,24,20
9695,Literature in English,november-2024,33,50,38,32,28,24,20
9695,Literature in English,november-2024,41,50,40,34,29,24,19
9695,Literature in English,november-2024,42,50,40,34,29,24,19
9695,Literature in English,november-2024,43,50,40,34,29,24,19
9693,Marine Science,november-2024,11,75,52,41,34,27,21
9693,Marine Science,november-2024,12,75,52,41,34,27,21
9693,Marine Science,november-2024,13,75,52,41,34,27,21
9693,Marine Science,november-2024,21,75,49,43,36,29,22
9693,Marine Science,november-2024,22,75,49,43,36,29,22
9693,Marine Science,november-2024,23,75,49,43,36,29,22
9693,Marine Science,november-2024,31,75,49,42,35,28,20
9693,Marine Science,november-2024,32,75,49,42,35,28,20
9693,Marine Science,november-2024,33,75,49,42,35,28,20
9693,Marine Science,november-2024,41,75,50,43,36,29,22
9693,Marine Science,november-2024,42,75,50,43,36,29,22
9693,Marine Science,november-2024,43,75,50,43,36,29,22
9709,Mathematics,november-2024,11,75,52,44,34,25,15
